GEMS,F850,e_F850,Re,e_Re,n,e_n,b/a,e_b/a,PA,f1,f2,RAJ2000,DEJ2000
J033242.63-280045.8,21.35,0.09,28.09,0.11,0.71,0.26,0.252,0.057,-7.1,1,1,53.177625,-28.012731
J033242.31-280043.4,22.89,0.2,25.95,0.23,2.44,0.63,0.521,0.06,48.0,1,1,53.176286,-28.012044
J033242.38-280045.6,22.59,0.06,6.26,0.08,1.38,0.25,0.609,0.042,-75.9,1,1,53.17657,-28.012669
J033242.60-280144.0,22.44,0.11,25.64,0.13,0.83,0.28,0.23,0.061,-20.8,1,1,53.177489,-28.028882
J033242.51-280218.0,22.18,0.14,24.36,0.17,1.85,0.46,0.527,0.058,-0.5,1,1,53.177121,-28.038335
J033242.40-280341.3,24.01,0.07,3.06,0.09,1.15,0.24,0.869,0.046,-62.0,1,1,53.17666,-28.06146
J033242.66-280225.0,22.08,0.1,13.29,0.12,0.2,0.27,0.931,0.06,-6.2,0,0,53.177732,-28.040288
J033242.56-280212.6,23.94,0.11,7.64,0.16,2.41,0.52,0.432,0.049,-21.9,1,1,53.17733,-28.036833
J033242.58-280310.3,22.21,0.2,40.11,0.22,1.61,0.48,0.736,0.072,-66.5,1,0,53.177432,-28.052859
J033243.13-280051.9,21.73,0.09,13.27,0.12,1.49,0.34,0.753,0.053,45.9,1,1,53.179726,-28.014428
J033243.03-280040.5,24.23,0.1,4.8,0.14,1.95,0.43,0.645,0.051,-66.0,1,1,53.179295,-28.011257
J033243.07-280304.5,23.14,0.07,4.51,0.1,2.87,0.41,0.628,0.035,34.7,1,1,53.179475,-28.05125
J033243.16-280242.8,22.04,0.1,14.21,0.14,2.18,0.46,0.491,0.049,70.5,1,1,53.179826,-28.04523
J033243.10-280249.2,23.52,0.15,12.23,0.18,2.05,0.5,0.68,0.057,11.9,1,1,53.179598,-28.046987
J033243.20-280248.5,22.72,0.16,18.86,0.19,2.02,0.51,0.771,0.059,48.1,1,1,53.179996,-28.046792
J033243.30-280334.1,22.26,0.16,27.48,0.19,2.05,0.52,0.535,0.059,10.5,1,1,53.180425,-28.059483
J033243.26-280244.3,23.57,0.13,11.0,0.16,1.77,0.43,0.603,0.057,65.2,1,1,53.180254,-28.045628
J033243.62-280053.7,22.12,0.1,13.75,0.13,1.26,0.31,0.669,0.057,53.2,1,1,53.181739,-28.014919
J033243.72-280043.3,23.07,0.15,14.6,0.18,1.82,0.47,0.882,0.06,53.2,1,1,53.18217,-28.01202
J033243.93-280231.1,22.23,0.11,17.7,0.13,0.42,0.28,0.811,0.063,-21.7,1,1,53.183055,-28.041984
J033243.87-280155.7,24.15,0.09,5.47,0.11,0.61,0.26,0.475,0.056,-64.1,1,1,53.182789,-28.032146
J033243.92-280310.9,24.12,0.07,3.36,0.1,2.17,0.35,0.532,0.039,-87.0,1,1,53.182989,-28.053038
J033243.99-280232.8,23.37,0.08,9.19,0.1,1.05,0.25,0.271,0.053,-78.1,1,1,53.183278,-28.042454
J033243.96-280145.8,22.93,0.15,27.38,0.17,1.23,0.37,0.435,0.067,54.6,1,0,53.18316,-28.029377
J033244.02-280329.7,22.67,0.11,8.75,0.18,8.0,0.78,0.776,0.038,2.7,0,0,53.183419,-28.058238
J033244.12-280148.7,23.65,0.1,5.37,0.17,3.86,0.74,0.777,0.038,39.8,1,1,53.183829,-28.030182
J033244.29-280046.9,20.96,0.08,15.3,0.12,2.42,0.43,0.684,0.042,83.8,1,1,53.184561,-28.013037
J033244.25-280204.8,21.73,0.19,31.03,0.23,2.54,0.64,0.878,0.058,-1.4,1,1,53.184356,-28.034679
J033244.19-280227.0,24.18,0.11,12.53,0.13,0.66,0.28,0.254,0.063,78.1,1,1,53.184119,-28.040829
J033244.44-280158.3,22.17,0.04,3.73,0.07,5.19,0.39,0.834,0.024,-56.5,1,1,53.185164,-28.03286
J033244.51-280050.7,23.34,0.1,9.78,0.12,0.72,0.27,0.431,0.059,-88.4,1,1,53.185441,-28.014092
J033244.39-280145.1,24.17,0.07,4.24,0.09,0.77,0.22,0.411,0.048,46.2,1,1,53.184938,-28.029201
