GEMS,F850,e_F850,Re,e_Re,n,e_n,b/a,e_b/a,PA,f1,f2,RAJ2000,DEJ2000
J033259.57-274552.1,24.73,0.15,7.12,0.19,2.3,0.54,0.602,0.055,9.5,1,0,53.248223,-27.764484
J033258.47-274552.1,24.67,0.13,8.57,0.15,0.98,0.31,0.678,0.066,84.5,1,1,53.243622,-27.764468
J033258.97-274550.5,23.35,0.53,71.02,0.49,8.0,1.15,0.305,0.071,4.8,0,0,53.245709,-27.764024
J033258.10-274550.9,25.03,0.12,6.9,0.17,2.44,0.53,0.255,0.05,66.3,1,0,53.242074,-27.764127
J033252.93-274550.1,24.17,0.54,31.07,0.49,8.0,1.16,0.809,0.072,80.9,0,0,53.220539,-27.763924
J033252.11-274549.4,23.13,0.7,133.9,0.51,8.0,1.32,0.479,0.08,-26.9,0,0,53.217113,-27.763714
J033257.59-274548.5,24.85,0.12,5.98,0.14,0.64,0.29,0.742,0.064,-1.0,1,0,53.239963,-27.76348
J033249.43-274547.9,23.56,0.2,23.24,0.22,1.67,0.49,0.584,0.07,-26.6,1,0,53.205964,-27.763311
J033254.42-274547.5,23.16,0.27,29.53,0.28,2.53,0.71,0.638,0.067,-44.9,1,0,53.226737,-27.763199
J033300.01-274546.4,23.58,0.16,15.41,0.17,1.41,0.4,0.719,0.066,-42.4,1,1,53.250036,-27.762898
J033250.95-274546.7,24.95,0.1,2.79,0.16,8.0,0.72,0.706,0.036,-65.2,0,0,53.212279,-27.762969
J033258.33-274543.8,25.2,0.1,7.58,0.12,0.2,0.27,0.145,0.059,49.7,0,0,53.243029,-27.762169
J033249.33-274543.1,25.25,0.12,5.13,0.14,0.2,0.29,0.665,0.064,-68.7,0,0,53.205554,-27.761965
J033253.49-274542.7,25.2,0.11,5.03,0.13,0.65,0.28,0.571,0.062,8.2,1,0,53.22289,-27.761863
J033253.39-274540.6,24.46,0.08,2.95,0.11,2.27,0.41,0.712,0.043,72.0,1,1,53.222466,-27.761267
J033257.19-274540.5,21.56,0.41,156.8,0.42,2.37,0.76,0.477,0.082,-60.7,1,0,53.238295,-27.761262
J033255.71-274539.4,24.18,0.13,11.44,0.14,0.21,0.3,0.529,0.066,-29.7,1,1,53.232123,-27.760946
J033257.15-274540.1,23.23,0.58,73.32,0.49,8.0,1.2,0.493,0.074,71.5,0,0,53.238108,-27.761135
J033258.15-274535.1,23.4,0.58,78.96,0.49,6.38,1.2,0.371,0.074,61.6,1,0,53.242304,-27.759751
J033258.15-274535.6,23.9,0.41,34.33,0.4,8.0,1.09,0.316,0.06,-25.8,0,0,53.242278,-27.7599
J033256.07-274532.6,23.81,0.16,22.5,0.18,0.63,0.34,0.52,0.075,-13.2,1,0,53.233622,-27.759042
J033252.60-274534.9,25.61,0.1,2.46,0.12,0.2,0.27,0.726,0.058,58.8,0,0,53.219162,-27.759701
J033250.43-274534.3,25.42,0.09,3.46,0.11,0.2,0.25,0.329,0.055,-9.6,0,0,53.210114,-27.759517
J033252.33-274533.3,25.53,0.1,5.33,0.13,0.85,0.28,0.302,0.061,72.5,1,0,53.218049,-27.759255
J033256.18-274532.7,20.3,0.28,313.97,0.34,1.46,0.5,0.252,0.084,-83.8,1,0,53.234082,-27.759086
J033259.01-274530.4,24.33,0.2,10.86,0.25,2.89,0.72,0.673,0.056,85.0,1,0,53.245862,-27.758436
J033300.64-274529.6,25.0,0.12,5.71,0.14,0.2,0.29,0.741,0.064,-88.8,0,0,53.252681,-27.758212
J033251.19-274528.9,24.03,0.23,24.23,0.25,2.08,0.6,0.419,0.07,-74.1,1,0,53.213287,-27.75803
J033256.19-274527.6,24.26,0.13,13.14,0.14,0.5,0.3,0.372,0.066,30.6,1,1,53.234115,-27.757672
J033256.86-274526.2,24.19,0.42,30.07,0.41,5.6,1.1,0.338,0.061,-51.4,1,0,53.236925,-27.757281
J033249.94-274523.1,23.53,0.19,29.6,0.22,1.43,0.45,0.461,0.074,10.7,1,0,53.208095,-27.756427
J033257.74-274522.2,23.57,0.34,26.36,0.36,8.0,1.04,0.454,0.055,47.8,0,0,53.240578,-27.756154
J033252.75-274522.7,24.15,0.36,19.66,0.37,3.03,0.86,0.957,0.069,83.0,1,0,53.219783,-27.756298
J033257.49-274522.1,25.37,0.11,4.79,0.13,1.02,0.29,0.577,0.063,-3.6,1,0,53.23956,-27.756132
J033253.16-274521.5,20.38,0.38,327.72,0.44,1.57,0.57,0.645,0.092,60.9,1,0,53.221516,-27.755968
J033251.74-274520.0,24.5,0.16,10.84,0.19,1.83,0.48,0.492,0.061,-75.2,1,1,53.215565,-27.755568
J033256.43-274518.1,25.2,0.1,4.74,0.13,0.2,0.28,0.503,0.061,26.0,0,0,53.23514,-27.755018
J033254.70-274517.3,24.94,0.11,9.1,0.18,3.91,0.77,0.098,0.038,-82.8,1,0,53.227911,-27.754808
J033255.44-274516.8,25.24,0.1,4.76,0.13,2.15,0.45,0.222,0.049,-17.0,1,0,53.231003,-27.754658
J033250.84-274515.8,22.85,0.19,35.02,0.21,1.69,0.49,0.415,0.068,82.8,1,1,53.211822,-27.754378
J033249.24-274515.0,24.22,0.38,20.61,0.38,4.41,1.08,0.517,0.057,69.2,1,0,53.205165,-27.754164
J033300.05-274512.9,24.11,0.14,12.91,0.15,0.41,0.31,0.577,0.067,-55.3,1,1,53.250229,-27.753594
J033251.11-274512.4,23.36,0.41,74.44,0.41,3.49,0.98,0.155,0.068,-73.9,1,0,53.212969,-27.753458
J033255.26-274512.2,25.17,0.12,8.34,0.14,0.47,0.29,0.261,0.063,-24.1,1,0,53.230267,-27.753391
J033249.85-274511.8,25.3,0.09,2.94,0.11,0.32,0.25,0.516,0.055,-24.9,1,0,53.207724,-27.753277
J033256.77-274511.9,24.38,0.17,10.16,0.22,2.77,0.65,0.479,0.053,67.7,1,1,53.23654,-27.753305
J033255.48-274510.9,24.8,0.1,5.39,0.13,1.12,0.29,0.475,0.059,-24.2,1,1,53.231173,-27.753017
J033254.86-274510.2,23.26,0.37,30.01,0.38,4.03,1.07,0.577,0.057,71.9,1,0,53.2286,-27.752823
J033254.86-274510.9,24.08,0.31,17.39,0.34,5.34,1.01,0.526,0.053,-68.6,1,0,53.228599,-27.75303
J033251.49-274509.5,24.05,0.14,15.41,0.15,0.2,0.31,0.423,0.067,-71.9,0,0,53.214544,-27.752645
J033250.23-274510.1,25.45,0.08,2.74,0.11,1.45,0.31,0.408,0.049,-36.6,1,0,53.20928,-27.752815
J033258.30-274509.3,24.46,0.07,3.09,0.12,4.31,0.55,0.418,0.032,-30.3,1,0,53.242902,-27.752588
J033256.32-274509.5,25.62,0.09,2.48,0.12,1.11,0.28,0.656,0.057,77.1,1,0,53.234678,-27.75263
J033251.77-274507.7,25.01,0.11,7.19,0.13,0.33,0.28,0.272,0.061,-53.8,1,0,53.215717,-27.75215
J033253.66-274507.4,25.33,0.09,4.7,0.13,3.17,0.54,0.135,0.039,-7.8,1,0,53.223578,-27.752067
J033300.20-274507.8,25.33,0.1,4.04,0.12,0.47,0.27,0.472,0.06,-84.2,1,0,53.250817,-27.752169
J033254.98-274507.1,24.76,0.14,12.68,0.15,0.2,0.31,0.307,0.067,55.8,0,0,53.229063,-27.75196
J033254.90-274506.8,25.03,0.08,2.59,0.11,1.98,0.36,0.525,0.044,0.1,1,0,53.22877,-27.75188
J033254.64-274506.5,25.13,0.11,4.86,0.13,0.2,0.28,0.668,0.063,-30.9,0,0,53.227661,-27.751798
J033255.01-274506.8,23.18,0.36,103.35,0.39,1.94,0.64,0.232,0.084,-61.4,1,0,53.229192,-27.751877
J033250.66-274506.6,25.52,0.11,4.98,0.13,0.92,0.28,0.428,0.062,-10.6,1,0,53.211097,-27.75183
J033300.97-274505.5,25.48,0.12,6.22,0.14,0.48,0.3,0.454,0.065,-1.3,1,0,53.254044,-27.751541
J033254.41-274505.2,24.76,0.14,8.98,0.16,1.27,0.36,0.5,0.064,-4.2,1,1,53.22669,-27.751442
J033253.98-274503.5,24.35,0.14,17.81,0.15,0.24,0.32,0.256,0.067,27.7,1,0,53.224927,-27.750983
J033250.52-274500.8,24.25,0.1,7.44,0.16,8.0,0.71,0.185,0.036,-9.5,0,0,53.210507,-27.750222
J033252.19-274501.2,24.85,0.01,0.3,0.11,0.35,0.4,0.289,0.001,-69.1,0,0,53.217478,-27.750327
J033253.40-274501.0,23.77,0.21,20.56,0.23,1.64,0.5,0.79,0.073,22.2,1,0,53.222497,-27.750282
J033255.59-274500.4,24.6,0.14,7.02,0.21,3.63,0.75,0.414,0.041,50.2,1,0,53.231628,-27.750114
J033249.92-274459.7,24.54,0.13,6.52,0.17,1.96,0.46,0.685,0.056,-18.9,1,1,53.208002,-27.749924
J033251.90-274459.8,23.15,0.16,24.82,0.19,0.48,0.34,0.86,0.077,39.3,1,0,53.216231,-27.749946
J033255.31-274458.9,24.74,0.13,7.98,0.14,0.26,0.3,0.656,0.066,-65.8,1,0,53.230466,-27.749686
J033247.00-274458.9,24.99,0.14,9.97,0.15,0.77,0.31,0.435,0.067,-64.4,1,1,53.195816,-27.749686
J033249.16-274457.9,25.07,0.09,3.27,0.16,8.0,0.68,0.397,0.035,-0.8,0,0,53.204848,-27.749423
J033257.13-274457.9,24.05,0.54,31.95,0.49,6.16,1.17,0.866,0.072,5.3,1,0,53.238045,-27.749409
J033246.54-274455.8,21.87,0.84,410.08,0.53,8.0,1.46,0.609,0.088,33.6,0,0,53.193932,-27.748832
J033250.47-274455.1,24.7,0.18,9.73,0.2,1.88,0.51,0.676,0.063,-10.4,1,1,53.210294,-27.748625
J033253.53-274454.3,23.86,0.27,19.43,0.28,2.59,0.72,0.739,0.066,47.7,1,1,53.223029,-27.748411
J033247.49-274454.4,24.82,0.08,7.46,0.14,6.39,0.63,0.074,0.034,22.6,1,0,53.197864,-27.748432
J033249.18-274453.8,25.37,0.1,4.83,0.12,0.32,0.27,0.249,0.058,-8.2,1,0,53.204919,-27.748276
J033258.49-274453.4,24.66,0.02,1.77,0.05,6.71,0.31,0.12,0.019,-17.6,1,0,53.243729,-27.748177
J033249.84-274453.0,23.17,0.2,30.69,0.22,1.72,0.51,0.503,0.071,-45.3,1,0,53.207675,-27.748062
J033257.26-274453.0,25.12,0.11,4.89,0.13,0.78,0.28,0.637,0.062,-77.5,1,0,53.238577,-27.748047
J033257.36-274453.0,24.7,0.13,8.21,0.15,1.17,0.33,0.519,0.063,-86.6,1,1,53.238979,-27.748053
J033250.82-274451.6,24.95,0.12,8.01,0.14,0.79,0.29,0.405,0.064,40.5,1,1,53.211736,-27.74767
J033251.77-274450.1,24.29,0.17,12.78,0.2,2.12,0.54,0.443,0.06,47.3,1,1,53.215698,-27.747236
J033255.86-274449.4,24.73,0.1,5.67,0.12,0.2,0.27,0.474,0.06,-67.2,0,0,53.232752,-27.747049
J033250.07-274448.1,24.07,0.17,9.1,0.23,3.57,0.77,0.579,0.044,-62.0,1,1,53.208634,-27.746698
J033253.66-274447.6,24.23,0.45,42.69,0.44,8.0,1.11,0.205,0.064,45.0,0,0,53.223567,-27.746567
J033258.25-274447.7,25.06,0.1,3.27,0.15,2.76,0.56,0.602,0.046,-61.4,1,0,53.242698,-27.74657
J033250.05-274447.2,23.27,0.28,24.58,0.29,2.47,0.71,0.997,0.069,57.8,1,0,53.208522,-27.746455
J033250.49-274447.3,25.35,0.13,5.94,0.14,0.29,0.3,0.606,0.065,34.2,1,0,53.21039,-27.746466
J033251.39-274447.2,25.07,0.11,7.33,0.13,0.96,0.28,0.271,0.062,71.8,1,0,53.214112,-27.746438
J033259.04-274446.1,25.48,0.02,0.77,0.06,2.21,0.19,0.331,0.014,-0.8,1,0,53.246019,-27.746125
J033252.85-274444.5,24.44,0.12,6.58,0.16,2.13,0.48,0.505,0.052,-87.6,1,1,53.220194,-27.745683
J033251.71-274444.3,22.55,0.65,129.99,0.5,8.0,1.27,0.558,0.078,-33.8,0,0,53.215442,-27.745635
J033259.75-274443.5,24.76,0.18,7.95,0.25,4.47,0.86,0.432,0.041,80.1,1,0,53.248938,-27.745421
J033249.36-274441.8,24.2,0.13,8.82,0.15,0.4,0.3,0.895,0.066,57.8,1,1,53.205661,-27.744947
J033259.39-274442.1,24.72,0.15,14.05,0.16,0.61,0.32,0.396,0.071,-82.2,1,1,53.247467,-27.745025
J033258.43-274441.8,24.07,0.23,13.68,0.3,8.0,0.94,0.496,0.049,36.1,0,0,53.243464,-27.744931
J033300.21-274441.2,21.62,0.81,500.0,0.52,6.17,1.43,0.386,0.087,27.6,0,0,53.250861,-27.744785
J033253.93-274440.9,24.82,0.16,8.28,0.23,8.0,0.83,0.303,0.039,-24.0,0,0,53.224715,-27.744704
J033257.68-274440.2,24.41,0.14,14.51,0.15,0.51,0.32,0.371,0.068,53.8,1,1,53.240339,-27.7445
J033252.85-274440.4,23.75,0.42,40.08,0.41,4.16,1.1,0.28,0.061,-31.4,1,0,53.220212,-27.74455
J033250.78-274439.2,23.32,0.18,27.34,0.2,1.35,0.42,0.529,0.073,58.0,1,1,53.211566,-27.744228
J033249.74-274439.9,24.38,0.15,15.68,0.16,0.38,0.32,0.39,0.07,-15.9,1,1,53.207252,-27.744419
J033250.97-274439.7,23.85,0.4,28.88,0.4,3.33,0.94,0.664,0.069,22.6,1,0,53.212358,-27.74435
J033251.21-274439.0,23.89,0.21,14.62,0.26,3.4,0.8,0.465,0.051,41.2,1,1,53.213363,-27.744161
J033246.80-274438.8,23.71,0.15,28.44,0.17,0.89,0.33,0.304,0.073,-25.5,1,0,53.194988,-27.744107
J033250.25-274438.1,25.17,0.06,1.62,0.08,1.9,0.28,0.63,0.035,-24.9,1,0,53.209366,-27.74393
J033259.24-274437.4,24.82,0.11,8.85,0.13,0.73,0.28,0.285,0.063,-38.4,1,1,53.246828,-27.743728
J033252.37-274437.3,24.91,0.14,9.22,0.17,1.74,0.44,0.318,0.059,30.4,1,1,53.218224,-27.743695
J033259.02-274437.1,23.3,0.37,46.05,0.38,2.63,0.78,0.57,0.076,86.5,1,0,53.245924,-27.743633
J033252.24-274434.3,21.34,0.8,400.23,0.52,7.99,1.42,0.727,0.086,54.5,1,0,53.217672,-27.742868
J033256.90-274434.4,24.45,0.11,4.22,0.18,3.97,0.77,0.632,0.038,27.3,1,0,53.23708,-27.742889
J033248.66-274433.0,21.88,0.51,172.17,0.46,3.33,1.02,0.305,0.078,43.3,1,0,53.202764,-27.742498
J033257.02-274434.4,24.89,0.1,4.36,0.12,0.73,0.27,0.669,0.06,84.0,1,0,53.237594,-27.742898
J033255.52-274434.1,25.03,0.16,11.59,0.18,1.79,0.47,0.249,0.061,29.1,1,0,53.231331,-27.742799
J033256.74-274433.0,24.63,0.1,7.67,0.13,0.38,0.28,0.328,0.061,-30.2,1,0,53.236404,-27.742492
J033253.65-274432.2,25.08,0.12,8.89,0.14,0.78,0.29,0.306,0.065,-81.4,1,0,53.22353,-27.742282
J033255.98-274431.6,24.56,0.09,3.77,0.12,1.67,0.36,0.602,0.051,81.0,1,1,53.233269,-27.742124
J033251.56-274430.7,24.17,0.18,11.24,0.22,2.48,0.61,0.575,0.057,-60.2,1,1,53.214836,-27.741848
J033247.69-274430.0,24.89,0.12,7.66,0.15,1.64,0.4,0.306,0.057,26.4,1,1,53.198696,-27.741676
J033251.98-274428.8,22.3,0.17,69.03,0.2,0.82,0.34,0.298,0.079,-79.8,1,0,53.216571,-27.741335
J033247.89-274429.3,25.63,0.09,3.9,0.11,0.2,0.25,0.218,0.055,59.0,0,0,53.19956,-27.741479
J033256.15-274429.3,23.46,0.45,31.46,0.44,7.34,1.11,0.769,0.064,-31.1,1,0,53.23397,-27.741462
J033249.83-274428.5,25.33,0.12,6.21,0.14,0.24,0.29,0.418,0.064,1.3,1,0,53.207645,-27.741257
J033254.24-274428.9,25.42,0.1,4.22,0.12,0.26,0.27,0.38,0.059,-0.8,1,0,53.225985,-27.74137
J033254.83-274428.5,25.35,0.11,6.28,0.13,0.71,0.28,0.267,0.061,4.1,1,0,53.228473,-27.741251
J033249.20-274427.6,25.02,0.13,6.1,0.2,4.14,0.8,0.276,0.038,3.4,1,0,53.20501,-27.741013
J033249.02-274427.9,24.61,0.21,15.8,0.28,8.0,0.91,0.179,0.046,-49.4,0,0,53.204245,-27.74107
J033255.60-274427.9,24.3,0.24,11.82,0.31,8.0,0.96,0.601,0.05,-73.8,0,0,53.231686,-27.741093
J033252.38-274426.9,24.68,0.28,12.65,0.33,6.65,0.99,0.468,0.052,-2.3,1,0,53.21826,-27.740812
J033248.41-274426.4,24.86,0.09,2.88,0.13,2.24,0.45,0.771,0.047,-66.8,1,0,53.201726,-27.740669
J033249.81-274426.2,23.46,0.39,26.15,0.39,5.32,1.08,0.72,0.058,45.4,1,0,53.207533,-27.740604
J033252.28-274426.0,25.03,0.11,5.09,0.13,0.26,0.28,0.629,0.062,41.5,1,0,53.217835,-27.740545
J033255.74-274426.0,25.41,0.08,3.47,0.1,0.72,0.25,0.292,0.053,-18.6,1,0,53.232233,-27.740551
J033256.74-274416.6,24.07,0.15,15.62,0.17,0.24,0.33,0.633,0.072,-1.6,1,0,53.236403,-27.737952
J033246.17-274409.5,25.11,0.16,14.19,0.19,2.06,0.52,0.147,0.059,-84.2,1,0,53.192395,-27.735977
J033251.99-274410.8,24.7,0.15,9.27,0.17,1.13,0.35,0.793,0.068,-3.5,1,1,53.216628,-27.736344
J033255.80-274419.6,24.83,0.11,6.27,0.13,0.9,0.28,0.532,0.063,3.6,1,1,53.232481,-27.738775
J033252.76-274414.7,24.49,0.01,0.3,0.06,2.59,0.3,0.047,0.001,-77.8,0,0,53.219849,-27.737421
J033250.46-274417.0,24.77,0.11,7.92,0.16,2.72,0.57,0.158,0.047,-48.1,1,1,53.21024,-27.738059
J033257.78-274416.3,24.59,0.13,13.79,0.15,1.08,0.32,0.262,0.065,21.5,1,1,53.240748,-27.737848
J033256.66-274418.1,23.85,0.15,26.28,0.16,0.26,0.32,0.242,0.07,10.6,1,0,53.236079,-27.73837
J033253.80-274401.5,21.86,0.14,30.29,0.15,0.48,0.32,0.859,0.067,-4.4,1,0,53.224151,-27.733763
J033256.68-274416.4,25.49,0.11,6.92,0.17,3.34,0.68,0.112,0.042,7.3,1,0,53.236175,-27.737889
J033255.08-274412.9,25.56,0.07,1.44,0.09,1.12,0.24,0.948,0.047,55.2,1,0,53.229493,-27.736923
J033258.24-274417.9,24.51,0.12,15.12,0.14,0.79,0.29,0.163,0.064,8.2,1,1,53.24268,-27.738313
J033250.13-274419.3,24.68,0.1,9.2,0.12,0.66,0.27,0.163,0.06,-41.2,1,1,53.208864,-27.738692
J033249.87-274410.1,23.5,0.16,23.47,0.19,0.57,0.34,0.788,0.078,-41.4,1,0,53.207792,-27.736133
J033255.01-274423.1,25.26,0.13,7.08,0.14,0.57,0.3,0.505,0.066,4.2,1,0,53.229204,-27.739751
J033252.09-274420.7,25.21,0.08,2.86,0.13,5.06,0.58,0.28,0.033,-1.3,1,0,53.217057,-27.739075
J033301.00-274424.4,24.51,0.46,20.83,0.44,8.0,1.11,0.693,0.065,32.5,0,0,53.254167,-27.740099
J033252.38-274420.2,24.15,0.29,12.16,0.33,4.33,0.99,0.873,0.052,41.3,1,0,53.218264,-27.738953
J033253.80-274413.9,24.68,0.16,11.52,0.19,2.07,0.52,0.316,0.059,71.5,1,1,53.224147,-27.737195
J033247.68-274413.7,25.52,0.08,3.84,0.1,0.43,0.24,0.187,0.051,-1.7,1,0,53.198682,-27.73713
J033250.24-274424.4,24.16,0.26,26.34,0.28,2.72,0.74,0.27,0.064,-17.3,1,0,53.209354,-27.740117
J033255.99-274423.5,25.62,0.11,3.98,0.14,0.2,0.29,0.74,0.063,81.5,0,0,53.233273,-27.739858
J033249.69-274403.1,24.14,0.57,76.2,0.49,8.0,1.19,0.177,0.073,14.7,0,0,53.207041,-27.734185
J033251.86-274424.9,24.53,0.13,18.5,0.15,0.2,0.31,0.166,0.066,-39.8,0,0,53.216104,-27.740238
J033247.76-274416.6,23.65,0.38,20.87,0.38,5.48,1.08,0.864,0.057,45.1,1,0,53.198983,-27.737933
J033254.14-274416.5,25.7,0.04,3.0,0.06,0.2,0.13,0.054,0.024,64.7,0,0,53.225578,-27.737908
J033246.21-274409.5,24.91,0.23,8.55,0.3,4.91,0.93,0.548,0.048,-66.7,1,0,53.19255,-27.735969
J033258.16-274420.9,23.6,0.46,46.71,0.45,8.0,1.11,0.33,0.065,64.8,0,0,53.242345,-27.739147
J033250.62-274410.0,25.28,0.12,7.17,0.14,0.68,0.29,0.368,0.064,32.4,1,0,53.210925,-27.736113
J033253.43-274720.4,16.68,0.01,1.05,0.02,3.39,0.08,0.829,0.001,77.3,1,0,53.222631,-27.789002
J033258.26-274725.8,21.65,0.11,25.75,0.13,0.87,0.28,0.583,0.063,-17.9,1,1,53.242733,-27.790498
J033258.59-274723.8,23.83,0.11,8.55,0.13,0.51,0.28,0.732,0.063,-2.5,1,1,53.244128,-27.789955
J033258.60-274719.6,20.99,0.09,18.05,0.11,0.98,0.26,0.733,0.055,-12.4,1,1,53.244184,-27.78878
J033301.25-274721.2,23.03,0.12,15.91,0.14,0.49,0.29,0.543,0.064,-83.0,1,1,53.255221,-27.789209
J033253.03-274716.1,19.67,0.01,0.3,0.08,2.5,0.43,0.068,0.001,-82.5,0,0,53.220951,-27.787817
J033301.49-274709.4,20.69,0.13,36.91,0.15,1.39,0.37,0.9,0.061,48.0,1,1,53.256194,-27.785944
J033301.19-274654.9,17.82,0.01,0.75,0.08,2.33,0.41,0.907,0.001,40.5,1,0,53.254968,-27.781906
J033301.03-274648.0,22.17,0.12,29.27,0.15,1.7,0.4,0.221,0.056,-16.9,1,1,53.254295,-27.78
J033301.05-274605.8,21.57,0.13,19.01,0.2,4.6,0.8,0.673,0.038,-2.9,1,1,53.254371,-27.768291
J033301.46-274604.1,24.19,0.11,9.06,0.13,0.3,0.28,0.448,0.062,-54.3,1,1,53.256104,-27.767804
J033301.53-274542.5,20.0,0.09,23.39,0.12,2.24,0.43,0.846,0.045,16.4,1,1,53.256378,-27.761801
J033301.19-274530.1,24.3,0.13,6.61,0.18,2.48,0.55,0.681,0.05,-62.5,1,1,53.254938,-27.758356
J033301.11-274513.4,23.02,0.08,5.24,0.12,2.52,0.44,0.834,0.041,19.2,1,1,53.254621,-27.753714
J033301.00-274449.5,21.29,0.14,51.02,0.16,1.27,0.36,0.424,0.065,-36.6,1,1,53.254185,-27.747093
J033300.68-274421.7,23.71,0.1,6.18,0.15,2.73,0.55,0.558,0.045,26.5,1,1,53.252822,-27.73935
J033258.91-274727.1,24.33,0.11,6.57,0.13,1.02,0.28,0.603,0.061,-17.1,1,1,53.245477,-27.790855
J033256.77-274726.6,25.79,0.11,5.94,0.13,0.5,0.28,0.25,0.063,60.2,1,0,53.236549,-27.790716
J033255.76-274726.3,24.99,0.09,3.26,0.13,2.26,0.45,0.508,0.046,-49.8,1,0,53.232313,-27.790653
J033259.59-274726.3,24.31,0.12,8.99,0.14,0.96,0.29,0.554,0.064,-86.2,1,1,53.248277,-27.790627
J033256.81-274726.0,24.37,0.12,16.75,0.14,0.88,0.29,0.151,0.064,45.7,1,1,53.236723,-27.790544
J033259.68-274725.9,24.53,0.1,8.09,0.12,0.34,0.27,0.275,0.06,-75.7,1,0,53.248674,-27.790536
J033254.00-274723.3,23.85,0.12,10.1,0.14,0.55,0.3,0.739,0.065,-67.6,1,1,53.225005,-27.789817
J033253.02-274722.9,23.01,0.14,19.6,0.16,0.79,0.32,0.83,0.069,-40.5,1,1,53.220931,-27.789687
J033256.31-274722.6,24.67,0.13,9.51,0.14,0.56,0.3,0.461,0.065,-68.5,1,1,53.234605,-27.789604
J033300.87-274722.1,25.31,0.1,5.52,0.13,0.23,0.27,0.308,0.061,-32.0,1,0,53.253613,-27.789471
J033300.75-274721.9,24.52,0.4,16.94,0.4,7.13,1.09,0.688,0.059,72.4,1,0,53.253141,-27.789418
J033257.01-274718.2,24.79,0.1,6.02,0.12,0.54,0.27,0.379,0.06,47.0,1,0,53.237522,-27.788392
J033301.81-274715.4,24.86,0.1,6.55,0.14,1.87,0.42,0.199,0.052,49.6,1,1,53.257562,-27.787608
J033301.67-274703.9,24.92,0.1,8.11,0.12,0.2,0.27,0.178,0.06,-43.2,0,0,53.256949,-27.78441
J033301.60-274644.4,25.24,0.03,1.33,0.06,8.0,0.38,0.323,0.023,-52.3,0,0,53.256687,-27.779007
J033301.22-274631.4,25.08,0.12,4.98,0.14,0.44,0.29,0.971,0.065,11.1,1,0,53.25508,-27.775387
J033301.24-274620.7,24.83,0.2,7.71,0.27,8.0,0.89,0.515,0.044,-75.0,0,0,53.255165,-27.77243
J033300.98-274538.2,23.77,0.56,81.28,0.49,7.93,1.18,0.198,0.073,22.6,1,0,53.254098,-27.760617
J033300.94-274522.0,24.75,0.1,6.15,0.17,8.0,0.76,0.212,0.037,-33.0,0,0,53.253924,-27.75611
J033301.09-274516.4,24.65,0.12,6.0,0.2,8.0,0.8,0.35,0.038,82.5,0,0,53.254526,-27.754568
J033300.96-274430.9,24.73,0.08,3.84,0.11,1.85,0.35,0.353,0.046,29.9,1,1,53.254014,-27.741922
J033301.20-274420.6,22.48,0.19,22.91,0.26,4.95,0.88,0.491,0.043,46.6,1,1,53.255004,-27.739068
J033300.72-274422.2,25.2,0.06,4.97,0.08,1.74,0.27,0.067,0.036,62.7,1,0,53.252989,-27.739511
J033157.22-274721.9,20.41,0.14,33.46,0.21,3.72,0.76,0.775,0.041,-81.9,1,1,52.988401,-27.789421
J033200.97-274722.7,23.05,0.1,17.31,0.13,0.5,0.27,0.257,0.061,8.1,1,1,53.004034,-27.789645
J033155.23-274719.4,22.27,0.14,26.48,0.16,1.23,0.36,0.708,0.065,-25.9,1,1,52.980104,-27.788722
J033202.39-274719.4,23.55,0.05,3.52,0.06,1.01,0.18,0.483,0.033,-85.4,1,1,53.009976,-27.788736
J033157.48-274718.5,22.74,0.06,7.33,0.08,1.62,0.26,0.326,0.038,-77.5,1,1,52.989488,-27.78847
J033156.04-274717.3,23.77,0.1,9.46,0.12,1.0,0.27,0.407,0.06,26.4,1,1,52.983502,-27.788127
J033204.10-274712.3,20.69,0.11,29.63,0.16,2.13,0.48,0.687,0.052,29.6,1,1,53.017063,-27.786748
J033204.75-274715.4,21.66,0.01,0.3,0.15,1.18,0.82,0.086,0.001,17.4,0,0,53.019797,-27.787609
J033158.91-274712.1,21.47,0.09,17.54,0.12,1.55,0.35,0.508,0.052,-47.5,1,1,52.995443,-27.786681
J033158.08-274709.2,18.48,0.01,0.3,0.13,1.96,0.73,0.072,0.001,-76.0,0,0,52.992007,-27.78589
J033156.49-274713.0,23.83,0.08,5.49,0.1,1.5,0.31,0.405,0.048,76.2,1,1,52.985382,-27.786957
J033201.02-274710.2,23.35,0.15,13.82,0.16,1.32,0.38,0.928,0.065,-73.8,1,1,53.004241,-27.786172
J033201.56-274709.2,23.64,0.11,10.6,0.13,0.68,0.28,0.513,0.062,-17.0,1,1,53.006518,-27.785886
J033159.54-274707.0,23.79,0.13,11.47,0.14,0.24,0.3,0.702,0.065,-39.6,1,1,52.998079,-27.785278
J033203.80-274702.7,22.37,0.11,33.62,0.13,0.87,0.28,0.139,0.061,-34.3,1,1,53.015816,-27.784081
J033204.43-274705.8,23.86,0.12,6.6,0.17,2.91,0.61,0.652,0.046,59.3,1,1,53.018459,-27.784937
J033155.85-274704.9,24.0,0.09,4.32,0.12,1.51,0.34,0.797,0.052,-66.3,1,1,52.982709,-27.784698
J033201.93-274702.6,22.89,0.1,15.17,0.12,0.46,0.27,0.308,0.059,-66.5,1,1,53.008048,-27.784067
